50 150
0 1 2
1 2 4
2 3 6
3 4 8
4 5 1
5 6 3
6 7 5
7 8 7
8 9 9
9 10 2
10 11 4
11 12 6
12 13 8
13 14 1
14 15 3
15 16 5
16 17 7
17 18 9
18 19 2
19 20 4
20 21 6
21 22 8
22 23 1
23 24 3
24 25 5
25 26 7
26 27 9
27 28 2
28 29 4
29 30 6
30 31 8
31 32 1
32 33 3
33 34 5
34 35 7
35 36 9
36 37 2
37 38 4
38 39 6
39 40 8
40 41 1
41 42 3
42 43 5
43 44 7
44 45 9
45 46 2
46 47 4
47 48 6
48 49 8
49 0 5
0 6 7
6 0 7
1 7 9
7 1 9
2 8 2
8 2 2
3 9 4
9 3 4
4 10 6
10 4 6
5 11 8
11 5 8
6 12 1
12 6 1
7 13 3
13 7 3
8 14 5
14 8 5
9 15 7
15 9 7
10 16 9
16 10 9
11 17 2
17 11 2
12 18 4
18 12 4
13 19 6
19 13 6
14 20 8
20 14 8
15 21 1
21 15 1
16 22 3
22 16 3
17 23 5
23 17 5
18 24 7
24 18 7
19 25 9
25 19 9
20 26 2
26 20 2
21 27 4
27 21 4
22 28 6
28 22 6
23 29 8
29 23 8
24 30 1
30 24 1
25 31 3
31 25 3
26 32 5
32 26 5
27 33 7
33 27 7
28 34 9
34 28 9
29 35 2
35 29 2
30 36 4
36 30 4
31 37 6
37 31 6
32 38 8
38 32 8
33 39 1
39 33 1
34 40 3
40 34 3
35 41 5
41 35 5
36 42 7
42 36 7
37 43 9
43 37 9
38 44 2
44 38 2
39 45 4
45 39 4
40 46 6
46 40 6
41 47 8
47 41 8
42 48 1
48 42 1
43 49 3
49 43 3
44 0 9
0 44 9
45 1 2
1 45 2
46 2 4
2 46 4
47 3 6
3 47 6
48 4 8
4 48 8
49 5 1
5 49 1
0 49
