500 2001
0 1 2
1 2 4
2 3 6
3 4 8
4 5 1
5 6 3
6 7 5
7 8 7
8 9 9
9 10 2
10 11 4
11 12 6
12 13 8
13 14 1
14 15 3
15 16 5
16 17 7
17 18 9
18 19 2
19 20 4
20 21 6
21 22 8
22 23 1
23 24 3
24 25 5
25 26 7
26 27 9
27 28 2
28 29 4
29 30 6
30 31 8
31 32 1
32 33 3
33 34 5
34 35 7
35 36 9
36 37 2
37 38 4
38 39 6
39 40 8
40 41 1
41 42 3
42 43 5
43 44 7
44 45 9
45 46 2
46 47 4
47 48 6
48 49 8
49 50 1
50 51 3
51 52 5
52 53 7
53 54 9
54 55 2
55 56 4
56 57 6
57 58 8
58 59 1
59 60 3
60 61 5
61 62 7
62 63 9
63 64 2
64 65 4
65 66 6
66 67 8
67 68 1
68 69 3
69 70 5
70 71 7
71 72 9
72 73 2
73 74 4
74 75 6
75 76 8
76 77 1
77 78 3
78 79 5
79 80 7
80 81 9
81 82 2
82 83 4
83 84 6
84 85 8
85 86 1
86 87 3
87 88 5
88 89 7
89 90 9
90 91 2
91 92 4
92 93 6
93 94 8
94 95 1
95 96 3
96 97 5
97 98 7
98 99 9
99 100 2
100 101 4
101 102 6
102 103 8
103 104 1
104 105 3
105 106 5
106 107 7
107 108 9
108 109 2
109 110 4
110 111 6
111 112 8
112 113 1
113 114 3
114 115 5
115 116 7
116 117 9
117 118 2
118 119 4
119 120 6
120 121 8
121 122 1
122 123 3
123 124 5
124 125 7
125 126 9
126 127 2
127 128 4
128 129 6
129 130 8
130 131 1
131 132 3
132 133 5
133 134 7
134 135 9
135 136 2
136 137 4
137 138 6
138 139 8
139 140 1
140 141 3
141 142 5
142 143 7
143 144 9
144 145 2
145 146 4
146 147 6
147 148 8
148 149 1
149 150 3
150 151 5
151 152 7
152 153 9
153 154 2
154 155 4
155 156 6
156 157 8
157 158 1
158 159 3
159 160 5
160 161 7
161 162 9
162 163 2
163 164 4
164 165 6
165 166 8
166 167 1
167 168 3
168 169 5
169 170 7
170 171 9
171 172 2
172 173 4
173 174 6
174 175 8
175 176 1
176 177 3
177 178 5
178 179 7
179 180 9
180 181 2
181 182 4
182 183 6
183 184 8
184 185 1
185 186 3
186 187 5
187 188 7
188 189 9
189 190 2
190 191 4
191 192 6
192 193 8
193 194 1
194 195 3
195 196 5
196 197 7
197 198 9
198 199 2
199 200 4
200 201 6
201 202 8
202 203 1
203 204 3
204 205 5
